Motion pattern,No. seq.,d1 RMSE/mm,d2 RMSE/mm,d3 RMSE/mm,d4 RMSE/mm,Distance mean RMSE/mm,Pitch RMSE/deg,Roll RMSE/deg,Angle mean RMSE/deg
Pitch sweep,9,0.054,0.042,0.046,0.053,0.049,0.121,0.047,0.084
Roll sweep,9,0.057,0.055,0.052,0.045,0.052,0.079,0.080,0.079
Pitch sine,9,0.068,0.050,0.053,0.057,0.057,0.131,0.061,0.096
Roll sine,9,0.057,0.042,0.060,0.051,0.052,0.114,0.079,0.096
Two-axis sine phase 0,9,0.060,0.050,0.057,0.063,0.058,0.118,0.082,0.100
Two-axis sine phase 90,9,0.059,0.045,0.042,0.048,0.049,0.118,0.078,0.098
Pitch-roll coupled,9,0.049,0.035,0.045,0.045,0.044,0.122,0.074,0.098
Diagonal same,9,0.067,0.046,0.045,0.054,0.053,0.073,0.066,0.069
Diagonal opposite,9,0.051,0.035,0.049,0.053,0.047,0.118,0.051,0.085
Small fast sine,9,0.056,0.048,0.062,0.047,0.053,0.132,0.080,0.106
Large slow sine,9,0.045,0.040,0.057,0.053,0.049,0.092,0.076,0.084
